0,1,2,3,4
"['睾', '丸']","['testicle', '只']",[noun], [M.W.: 只],4
"['肉', '丸']","['meatball', '只', '碗', '盘']",[noun], [M.W.: 只碗盘],4
"['药', '丸']","['pill', '片', '粒', '颗']",[noun], [M.W.: 片粒颗],4
"['丸', '子']","['pills', ' balls', ' meatballs', '只']",[noun], [M.W.: 只],3
"['定', '心', '丸']","['tranquilizer', ""something that sets one's mind at ease"", '粒']",[noun], [M.W.: 粒],2
"['弹', '丸']","['pellet', '粒', '块']",[noun], [M.W.: 粒块],2
"['樟', '脑', '丸']","['camphor balls', ' moth balls', '粒', '颗']",[noun], [M.W.: 粒颗],2
"['鱼', '丸']","['fish ball', '只']",[noun], [M.W.: 只],2
"['炸', '丸', '子']","['croquettes', ' deep fried food balls', '只', '碗', '盘']",[noun], [M.W.: 只碗盘],1
"['牛', '肉', '丸']","['beef meatballs', '只', '碗', '盘', '碟', '份']",[noun], [M.W.: 只碗盘碟份],1
"['及', '时']","['in time', 'promptly', 'without delay', 'timely']",[adv], [HSK: 4],5
"['来', '不', '及']","[""there's not enough time""]",[adv], [HSK: 4],5
"['来', '得', '及']","[""there's still time""]","[adj, adv]", [HSK: 4],5
"['以', '及']","[' as well as', ' along with', ' and']",[conj], [HSK: 5],5
"['及', '格']",['to pass a test'],[verb], [HSK: 5],4
"['力', '所', '能', '及']","[""as far as one's capabilities extend"", "" to the best of one's ability"", ""within one's powers""]",[idiom], [HSK: 6],4
"['及', '早']","['at the earliest possible time', 'as soon as possible']",[adv], [HSK: 6],3
"['普', '及']","['popular', 'to popularize', 'universal', 'ubiquitous', 'pervasive']",[adj], [HSK: 6],3
"['涉', '及']","['to involve', 'to touch upon (a topic)']",[verb], [HSK: 6],5
"['迫', '不', '及', '待']","['impatient', ' in a hurry', 'itching to get on with it']",[idiom], [HSK: 6],5
"['埃', '及']",['Egypt'],[noun],,1
"['危', '及']","['endanger', ' jeopardize\n']",[verb],,1
"['措', '手', '不', '及']","['no time to deal with it', ' caught unprepared']",[idiom],,1
"['提', '及']",['mention'],[verb],,1
"['触', '及']","[""to touch (one's feelings)""]",[verb],,1
"['谈', '及']","['to talk about', ' to mention']",[verb],,1
"['顾', '及']","['take into account', 'take into consideration']",[verb],,1
"['不', '及']","['to fall short of', 'not as good as', 'too late']","[adj, adv]",,1
"['后', '悔', '莫', '及']",['too late for regrets'],[idiom],,1
"['殃', '及']",['to bring disaster to'],[verb],,1
"['波', '及']","['to spread to', 'to involve', 'to affect']",[verb],,1
"['遍', '及']",['to extend (everywhere)'],[verb],,1
"['不', '及', '格']",['fail'],[verb],,1
"['伸', '手', '可', '及']",['very close\n'],[adj],,1
"['广', '告']","[' advertisement', '篇', '页', '份']",[noun], [M.W.: 篇页份],0
"['广', '播']","['broadcast', ' be on the air']","[noun, verb]", [HSK: 4],5
"['广', '场']","[' public square', ' square', '座']",[noun], [M.W.: 座],0
"['广', '大']","['(of an area) vast or extensive', 'large-scale', 'widespread', '(of people) numerous']",[adj], [HSK: 5],4
"['广', '泛']","['extensive', 'wide range']",[adj], [HSK: 5],4
"['推', '广']","['to extend', 'to spread', 'to popularize', 'generalization', 'promotion (of a product etc)']",[verb], [HSK: 5],4
"['广', '阔']","['wide', 'vast']",[adj], [HSK: 6],4
"['见', '多', '识', '广']",['experienced and knowledgeable'],[idiom], [HSK: 6],3
"['大', '庭', '广', '众']",['public place with numerous people'],[noun],,1
"['广', '告', '牌']","['advertisement', 'hoarding', 'signboard', '张']",[noun], [M.W.: 张],4
"['宽', '广']","['wide', 'broad', 'extensive', 'vast']",[adj],,1
"['广', '东']",[' Guangdong (Province)'],[noun],,1
"['广', '州']",['Canton'],[noun],,1
"['广', '袤']",['vast'],[adj],,1
"['神', '通', '广', '大']","['to possess great magical power', ' to possess remarkable abilities']",[idiom],,1
"['广', '东', '省']",['Guangdong Province\n'],[noun],,1
"['广', '东', '话']",['Cantonese language'],[noun],,1
"['广', '义']","['wide sense', 'generalization', 'general']",[adj],,1
"['广', '交', '会']",['场'],[noun], [M.W.: 场],2
"['广', '博']",['extensive'],[adj],,1
"['广', '告', '商']","['advertising company', '位', '名', '个']",[noun], [M.W.: 位名个],2
"['广', '告', '栏']","['advertisement', ' ad column\n', '块', '面']",[noun], [M.W.: 块面],2
"['广', '州', '市']",['Canton'],[noun],,1
"['死', '亡']","['death', 'deadly']","[verb, noun, adj]", [HSK: 6],5
"['灭', '亡']","['to be destroyed', 'to become extinct', 'to perish', 'to die out', 'to destroy', 'to exterminate']","[adj, verb]", [HSK: 6],4
"['伤', '亡']","['casualties', 'injuries and deaths']","[adj, noun]",,1
"['流', '亡']","['to force into exile', 'to be exiled', 'in exile']",[verb],,1
"['消', '亡']","['to die out', 'to wither away']",[verb],,1
"['身', '亡']",['to die'],[verb],,1
"['逃', '亡']","['to flee', 'flight (from danger)', 'fugitive']",[verb],,1
"['逃', '亡', '者']","['runaway', '位', '名', '个']",[noun], [M.W.: 位名个],4
"['阵', '亡']",['to die in battle'],[verb],,1
"['亡', '命']","['to flee', ' to go into exile (from prison)']",[verb],,1
"['亡', '羊', '补', '牢']","['fig. to act belatedly', 'better late than never']",[idiom],,1
"['存', '亡']","['to live or die', 'to exist or perish']",[verb],,1
"['家', '破', '人', '亡']","['family bankrupt and the people dead', ' ruined and orphaned', 'destitute and homeless']",[idiom],,1
"['死', '亡', '率']",['mortality rate\n'],[noun],,1
"['生', '死', '存', '亡']",['life or death situation\n'],[idiom],,1
"['衰', '亡']","['to decline', 'to die out', 'decline and fall']",[verb],,1
"['亡', '国']","['a kingdom destroyed (by war)', 'a state heading for destruction']","[verb, adj]",,1
"['亡', '父']","['deceased father\n', '位', '名']",[noun], [M.W.: 位名],2
"['名', '存', '实', '亡']","['the name remains', ' but the reality is gone']",[idiom],,1
"['唇', '亡', '齿', '寒']","['lit. without the lips', ' the teeth feel the cold', ' fig. intimately interdependent']",[idiom],,1
"['自', '取', '灭', '亡']","['to court disaster', ""to dig one's own grave""]",[idiom],,1
"['亡', '故']","['to die', ' to pass away']",[verb],,1
"['亡', '母']","['deceased mother', '位']",[noun], [M.W.: 位],1
"['亡', '者']","['the deceased', '位', '个', '名']",[noun], [M.W.: 位个名],1
"['专', '门']","['specialist', 'specialized', 'customized']",[noun], [HSK: 4],5
"['部', '门']","[' branch', ' department', '个']",[noun], [M.W.: 个],0
"['热', '门']","['popular', 'hot', 'in vogue']",[adj], [HSK: 6],4
"['窍', '门']","['a trick', 'an ingenious method', 'know-how', 'the knack (of doing something)', '个']",[noun], [M.W.: 个],0
"['上', '门']","['drop in', 'visit']",[verb],,1
"['关', '门']","['close down', 'closed doors']",[verb],,1
"['出', '门']","['to go on a journey', 'away from home', 'exit door', 'to go out of the door']",[verb],,1
"['前', '门']","['front door', '扇']",[noun], [M.W.: 扇],5
"['后', '门']","['the back door', 'anus', '个']",[noun], [M.W.: 个],5
"['大', '门']","['entrance', 'door', 'gate', '扇']",[noun], [M.W.: 扇],5
"['开', '门']",['open (the) door'],[verb],,1
"['敲', '门']",['knock on a door'],[verb],,1
"['门', '口']","['doorway', ' gate']",[noun],,1
"['门', '票']","['ticket (for theater', ' cinema etc)', '张']",[noun], [M.W.: 张],5
"['入', '门']","['entrance door', 'to enter a door', 'introduction (to a subject)']","[verb, noun]",,1
"['守', '门', '员']","['goal-keeper', '位', '名', '个']",[noun], [M.W.: 位名个],4
"['射', '门']",['(soccer'],[verb],,1
"['开', '门', '见', '山']",[' fig. to get right to the point'],[idiom],,1
"['房', '门']","['door of a room', '扇']",[noun], [M.W.: 扇],4
"['找', '上', '门']","[""to come to somebody's door"", ' to call on somebody']",[verb],,1
"['把', '门']","['to stand as a goalkeeper', 'to keep guard on a gate']",[verb],,1
"['拒', '之', '门', '外']",[],[verb],,1
"['正', '门']","['the formal entrance', ' main gate (to a university etc)', 'portal', '扇']",[noun], [M.W.: 扇],4
"['油', '门']","['accelerator (pedal)', 'gas pedal', 'throttle']",[noun],,1
